,X,STATION,Station,State,DATE,TIME,HLY.CLDH.NORMAL,HLY.CLOD.PCTBKN,HLY.CLOD.PCTCLR,HLY.CLOD.PCTFEW,HLY.CLOD.PCTOVC,HLY.CLOD.PCTSCT,HLY.DEWP.10PCTL,HLY.DEWP.90PCTL,HLY.DEWP.NORMAL,HLY.HIDX.NORMAL,HLY.HTDH.NORMAL,HLY.PRES.10PCTL,HLY.PRES.90PCTL,HLY.PRES.NORMAL,HLY.TEMP.10PCTL,HLY.TEMP.90PCTL,HLY.TEMP.NORMAL,HLY.WCHL.NORMAL,HLY.WIND.1STDIR,HLY.WIND.1STPCT,HLY.WIND.2NDDIR,HLY.WIND.2NDPCT,HLY.WIND.AVGSPD,HLY.WIND.PCTCLM,HLY.WIND.VCTDIR,HLY.WIND.VCTSPD
1,1,USW00094185,BURNS MUNICIPAL AIRPORT,OR,15-May,10,1.1,193,368,148,230,62,23,44.1,33.7,56.5,9.6,1,1,1,45,70,56.5,55.1,6,220,8,188,7.9,102,263,2.9
2,2,USW00003947,KANSAS CITY INTERNATIONAL AIRPORT,MO,26-May,1,1.7,156,323,131,312,79,45,64.9,55.6,62.1,4.6,1,1,1,52,72,62.1,61.9,5,230,3,154,8.7,78,153,2.9
3,3,USW00003927,DAL FTW WSCMO AIRPORT,TX,21-Jun,20,18.5,220,204,280,119,177,61,73,67.4,86.2,0,1,1,1,77,90,83.5,83.5,4,432,5,287,9.6,20,144,6.8
4,4,USW00013876,BIRMINGHAM AIRPORT,AL,23-Apr,20,2.7,148,434,101,201,116,39,63,51.6,63.9,3.9,1,1,1,52,73.9,63.9,63.7,2,214,5,152,5.6,202,154,0.5
5,5,USW00014821,PORT COLUMBUS INTERNATIONAL AIRPORT,OH,1-Jun,11,7.3,260,80,114,394,153,42.1,68,55.7,71.6,1.1,1,1,1,60.1,82.9,71.2,71.1,6,250,5,137,9,38,235,2.6
6,6,USW00013893,MEMPHIS INTERNATIONAL AIRPORT,TN,6-Jun,19,14.9,247,121,209,299,124,55,73,64.9,81.7,-777.7,1,1,1,71.4,87.1,79.9,79.9,5,250,4,213,8.2,24,151,3
7,7,USW00012835,FORT MYERS PAGE FIELD AIRPORT,FL,26-Apr,10,13.8,196,332,239,81,153,53.1,72,62.9,80.3,0.1,1,1,1,72,84,78.7,78.7,3,237,4,204,9.6,43,110,3.7
8,8,USW00025503,KING SALMON AIRPORT,AK,1-Apr,14,0,312,67,139,362,119,5,32,21,33.8,31.2,1,1,1,18,45.3,33.8,25.2,1,240,3,162,13.2,16,38,1.6
9,9,USW00003860,HUNTINGTON TRI STATE AIRPORT,WV,1-Jun,16,11.7,203,196,143,326,132,46,69.1,58.9,77,0.3,1,1,1,64.9,87.1,76.4,76.3,6,232,7,203,7.5,52,258,2.8
10,10,USW00003816,PADUCAH BARKLEY REGIONAL AIRPORT,KY,30-Jun,21,9.8,137,470,168,170,55,60.8,73.9,68.1,75.8,-777.7,1,1,1,69.1,81,74.8,74.8,5,239,4,144,4.1,266,177,2.2
11,11,USW00093815,DAYTON INTERNATIONAL AIRPORT,OH,9-Jun,8,3.6,203,187,129,406,74,48,68,58.1,66.6,2,1,1,1,57,75,66.6,66.6,6,276,5,133,8.6,53,211,2.4
12,12,USW00014926,ST CLOUD REGIONAL AIRPORT,MN,6-May,9,0.5,156,338,74,356,76,26.1,53.1,38.9,54.3,11.3,1,1,1,42.1,66,54.3,52.5,8,171,4,160,10.5,29,198,0.5
13,13,USW00023237,STOCKTON METROPOLITAN AIRPORT,CA,10-May,9,3.3,147,588,106,111,48,37.9,54,46.8,66.5,1.8,1,1,1,59,75.9,66.5,66.5,8,427,7,327,9.7,49,295,7.6
14,14,USW00024157,SPOKANE INTERNATIONAL AIRPORT,WA,5-May,3,0,193,227,152,299,129,25,44.1,34.8,42.5,22.5,1,1,1,33.1,51.1,42.5,38.1,5,290,6,184,8.6,89,179,4.7
15,15,USW00024221,EUGENE MAHLON SWEET AIRPORT,OR,29-Apr,2,0,138,309,54,454,44,35.1,50,42.2,45.1,19.9,1,1,1,37.9,52,45.1,42.6,5,344,6,172,5.3,202,187,3.2
16,16,USW00013866,CHARLESTON YEAGER AIRPORT,WV,14-May,19,5.6,244,182,166,265,143,37,64.9,51.6,68.4,2.3,1,1,1,55,80.1,68.3,68.2,6,143,7,112,4.9,245,255,1.1
17,17,USW00013968,TULSA INTERNATIONAL AIRPORT,OK,21-May,21,6.9,192,255,154,265,134,50,69.1,60.6,71.3,0.8,1,1,1,62.1,80.1,71,71,4,304,5,270,8.3,56,150,4
